Wagon_type,Air_Supply,Passenger_Capacity,Number_of_Doors,Number_of_windows,Cabin_Door,Operation_Point,Weather_Category
MC + MC,4000,70,6,8,Yes,OP1,I
MC + M + MC,5000,80,8,10,No,OP2,II
MC + T1 + MC,6000,90,10,12,,OP3,III
MC + M1 + M1 + MC,7000,100,,,,OP4,
MC + T1 + M1 + MC,8000,110,,,,OP5,
MC + T1 + T1 + MC,,120,,,,OP6,
MC + M1 + M + M1 + MC,,130,,,,OP7,
MC + M1 + T + M1 + MC,,140,,,,OP8,
MC + T1 + M + T1 + MC,,150,,,,OP9,
MC + M1 + M + M + M1 + MC,,160,,,,OP10,
MC + T1 + M + M + T1 + MC,,,,,,OP11,
MC + T1 + M + T + T1 + MC,,,,,,OP12,
,,,,,,OP13,
,,,,,,OP14,
,,,,,,OP15,
,,,,,,OP16,
